EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
8	14:44:48	0.1000	4.9602	5.1581	0.0000	0.0000	0.0000	0.0000
9	14:44:49	0.1000	4.9145	5.1581	0.0000	0.0000	0.0000	0.0000
10	14:44:50	0.1000	4.8450	5.1576	0.0000	0.0000	0.0000	0.0000
11	14:44:51	0.1000	4.7688	5.1576	0.0000	0.0000	0.0000	0.0000
12	14:44:52	0.1000	4.6724	5.1576	0.0000	0.0000	0.0000	0.0000
13	14:44:54	0.1000	4.5718	5.1574	0.0100	0.0100	0.0100	0.0100
14	14:44:55	0.1000	4.4279	5.1570	0.0100	0.0100	0.0100	0.0100
15	14:44:56	0.1000	4.2715	5.1571	0.0100	0.0100	0.0100	0.0100
16	14:44:57	0.1000	4.1262	5.1566	0.0100	0.0100	0.0100	0.0100
17	14:44:58	0.1000	3.9628	5.1565	0.0100	0.0100	0.0100	0.0100
18	14:44:59	0.1000	3.8026	5.1557	0.0200	0.0200	0.0200	0.0200
19	14:45:00	0.1000	3.6627	5.1557	0.0100	0.0100	0.0100	0.0100
20	14:45:01	0.1000	3.5065	5.1553	0.0100	0.0100	0.0100	0.0100
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:45:38	0.1000	5.1669	5.1443	0.0000	0.0000	0.0000	0.0000
2	14:45:39	0.1000	5.1341	5.1449	0.0000	0.0000	0.0000	0.0000
3	14:45:41	0.1000	5.1052	5.1448	0.0000	0.0000	0.0000	0.0000
4	14:45:42	0.1000	5.0834	5.1440	0.0101	0.0100	0.0101	0.0100
5	14:45:43	0.1000	5.0632	5.1438	0.0101	0.0100	0.0101	0.0100
6	14:45:44	0.1000	5.0341	5.1436	0.0101	0.0100	0.0101	0.0100
7	14:45:45	0.1000	4.9892	5.1434	0.0202	0.0200	0.0201	0.0200
8	14:45:46	0.1000	4.9517	5.1435	0.0101	0.0100	0.0101	0.0100
9	14:45:47	0.1000	4.9060	5.1428	0.0101	0.0100	0.0101	0.0100
10	14:45:48	0.1000	4.8574	5.1424	0.0202	0.0200	0.0201	0.0200
11	14:45:49	0.1000	4.7964	5.1419	0.0202	0.0200	0.0201	0.0200
12	14:45:50	0.1000	4.7133	5.1415	0.0202	0.0200	0.0201	0.0200
13	14:45:51	0.1000	4.6022	5.1411	0.0202	0.0200	0.0201	0.0200
14	14:45:52	0.1000	4.4721	5.1404	0.0303	0.0300	0.0302	0.0300
15	14:45:54	0.1000	4.3347	5.1403	0.0202	0.0200	0.0201	0.0200
16	14:45:55	0.1000	4.2169	5.1397	0.0101	0.0100	0.0101	0.0100
17	14:45:56	0.1000	4.0714	5.1388	0.0101	0.0100	0.0101	0.0100
18	14:45:57	0.1000	3.8952	5.1385	0.0101	0.0100	0.0101	0.0100
19	14:45:59	0.1000	3.7596	5.1383	0.0101	0.0100	0.0101	0.0100
20	14:46:00	0.1000	3.6232	5.1380	0.0000	0.0000	0.0000	0.0000
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:46:36	0.1000	5.1726	5.1569	0.0000	0.0000	0.0000	0.0000
2	14:46:37	0.1000	5.1439	5.1559	0.0000	0.0000	0.0000	0.0000
3	14:46:38	0.1000	5.1229	5.1552	0.0000	0.0000	0.0000	0.0000
4	14:46:39	0.1000	5.0891	5.1553	0.0000	0.0000	0.0000	0.0000
5	14:46:40	0.1000	5.0595	5.1551	0.0000	0.0000	0.0000	0.0000
6	14:46:41	0.1000	5.0414	5.1541	0.0000	0.0000	0.0000	0.0000
7	14:46:43	0.1000	5.0007	5.1535	0.0000	0.0000	0.0000	0.0000
8	14:46:44	0.1000	4.9777	5.1533	0.0000	0.0000	0.0000	0.0000
9	14:46:45	0.1000	4.9107	5.1521	0.0000	0.0000	0.0000	0.0000
10	14:46:46	0.1000	4.8596	5.1512	0.0000	0.0000	0.0000	0.0000
11	14:46:48	0.1000	4.7922	5.1502	0.0000	0.0000	0.0000	0.0000
12	14:46:49	0.1000	4.7212	5.1486	0.0000	0.0000	0.0000	0.0000
13	14:46:50	0.1000	4.6120	5.1473	0.0000	0.0000	0.0000	0.0000
14	14:46:51	0.1000	4.4897	5.1466	0.0000	0.0000	0.0000	0.0000
15	14:46:52	0.1000	4.3568	5.1457	0.0000	0.0000	0.0000	0.0000
16	14:46:53	0.1000	4.2043	5.1446	0.0000	0.0000	0.0000	0.0000
17	14:46:54	0.1000	4.0571	5.1440	0.0000	0.0000	0.0000	0.0000
18	14:46:55	0.1000	3.9006	5.1440	0.0000	0.0000	0.0000	0.0000
19	14:46:56	0.1000	3.7087	5.1437	0.0000	0.0000	0.0000	0.0000
20	14:46:57	0.1000	3.5608	5.1437	0.0000	0.0000	0.0000	0.0000
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	15:47:18	0.1000	2.3729	1.9979	0.4709	0.4709	0.4709	0.4709
